Node 1 (id),Node 1 (label),Node 1 (longitude),Node 1 (latitude),Node 2 (id),Node 2 (label),Node 2 (longitude),Node 2 (latitude),Distance (km),Delay(mks)
1,NY54,-74.00597,40.71427,2,CMBR,-71.10561,42.3751,304.2549,1460.4238
1,NY54,-74.00597,40.71427,3,CHCG,-87.65005,41.85003,1148.7429,5513.9659
1,NY54,-74.00597,40.71427,7,PHLA,-75.16379,39.95234,129.7604,622.8500
1,NY54,-74.00597,40.71427,8,WASH,-77.03637,38.89511,328.8166,1578.3198
2,CMBR,-71.10561,42.3751,1,NY54,-74.00597,40.71427,304.2549,1460.4238
2,CMBR,-71.10561,42.3751,7,PHLA,-75.16379,39.95234,433.9573,2082.9952
3,CHCG,-87.65005,41.85003,1,NY54,-74.00597,40.71427,1148.7429,5513.9659
3,CHCG,-87.65005,41.85003,4,CLEV,-81.69541,41.4995,497.2757,2386.9233
3,CHCG,-87.65005,41.85003,7,PHLA,-75.16379,39.95234,1071.9691,5145.4518
3,CHCG,-87.65005,41.85003,10,STLS,-90.19789,38.62727,418.3578,2008.1173
3,CHCG,-87.65005,41.85003,16,DNVR,-104.9847,39.73915,1479.0054,7099.2258
3,CHCG,-87.65005,41.85003,17,KSCY,-94.62746,39.11417,664.7635,3190.8646
3,CHCG,-87.65005,41.85003,18,SNFN,-122.41942,37.77493,2990.5639,14354.7065
3,CHCG,-87.65005,41.85003,21,STTL,-122.33207,47.60621,2795.9188,13420.4101
3,CHCG,-87.65005,41.85003,22,SLKC,-111.89105,40.76078,2026.9314,9729.2707
4,CLEV,-81.69541,41.4995,9,NSVL,-86.78444,36.16589,738.4926,3544.7644
4,CLEV,-81.69541,41.4995,10,STLS,-90.19789,38.62727,791.9298,3801.2631
4,CLEV,-81.69541,41.4995,3,CHCG,-87.65005,41.85003,497.2757,2386.9233
4,CLEV,-81.69541,41.4995,7,PHLA,-75.16379,39.95234,577.7645,2773.2697
5,RLGH,-78.63861,35.7721,6,ATLN,-84.38798,33.749,572.0965,2746.0634
5,RLGH,-78.63861,35.7721,8,WASH,-77.03637,38.89511,374.5425,1797.8039
6,ATLN,-84.38798,33.749,5,RLGH,-78.63861,35.7721,572.0965,2746.0634
6,ATLN,-84.38798,33.749,8,WASH,-77.03637,38.89511,872.2930,4187.0062
6,ATLN,-84.38798,33.749,9,NSVL,-86.78444,36.16589,346.0964,1661.2628
6,ATLN,-84.38798,33.749,10,STLS,-90.19789,38.62727,752.0681,3609.9271
6,ATLN,-84.38798,33.749,14,DLLS,-96.80667,32.78306,1161.3081,5574.2788
6,ATLN,-84.38798,33.749,15,ORLD,-81.37924,28.53834,644.9454,3095.7379
7,PHLA,-75.16379,39.95234,1,NY54,-74.00597,40.71427,129.7604,622.8500
7,PHLA,-75.16379,39.95234,2,CMBR,-71.10561,42.3751,433.9573,2082.9952
7,PHLA,-75.16379,39.95234,3,CHCG,-87.65005,41.85003,1071.9691,5145.4518
7,PHLA,-75.16379,39.95234,4,CLEV,-81.69541,41.4995,577.7645,2773.2697
7,PHLA,-75.16379,39.95234,8,WASH,-77.03637,38.89511,199.4331,957.2791
8,WASH,-77.03637,38.89511,1,NY54,-74.00597,40.71427,328.8166,1578.3198
8,WASH,-77.03637,38.89511,5,RLGH,-78.63861,35.7721,374.5425,1797.8039
8,WASH,-77.03637,38.89511,6,ATLN,-84.38798,33.749,872.2930,4187.0062
8,WASH,-77.03637,38.89511,7,PHLA,-75.16379,39.95234,199.4331,957.2791
9,NSVL,-86.78444,36.16589,10,STLS,-90.19789,38.62727,407.3485,1955.2728
9,NSVL,-86.78444,36.16589,14,DLLS,-96.80667,32.78306,993.6098,4769.3272
9,NSVL,-86.78444,36.16589,4,CLEV,-81.69541,41.4995,738.4926,3544.7644
9,NSVL,-86.78444,36.16589,6,ATLN,-84.38798,33.749,346.0964,1661.2628
10,STLS,-90.19789,38.62727,3,CHCG,-87.65005,41.85003,418.3578,2008.1173
10,STLS,-90.19789,38.62727,4,CLEV,-81.69541,41.4995,791.9298,3801.2631
10,STLS,-90.19789,38.62727,6,ATLN,-84.38798,33.749,752.0681,3609.9271
10,STLS,-90.19789,38.62727,9,NSVL,-86.78444,36.16589,407.3485,1955.2728
10,STLS,-90.19789,38.62727,14,DLLS,-96.80667,32.78306,881.6157,4231.7556
10,STLS,-90.19789,38.62727,17,KSCY,-94.62746,39.11417,388.1558,1863.1478
10,STLS,-90.19789,38.62727,23,LA03,-118.24368,34.05223,2557.9808,12278.3077
11,NWOR,-90.07507,29.95465,12,HSTN,-95.36327,29.76328,511.3534,2454.4965
11,NWOR,-90.07507,29.95465,14,DLLS,-96.80667,32.78306,712.8573,3421.7151
11,NWOR,-90.07507,29.95465,15,ORLD,-81.37924,28.53834,859.5158,4125.6760
12,HSTN,-95.36327,29.76328,11,NWOR,-90.07507,29.95465,511.3534,2454.4965
12,HSTN,-95.36327,29.76328,13,SNAN,-98.49363,29.42412,305.5709,1466.7404
12,HSTN,-95.36327,29.76328,14,DLLS,-96.80667,32.78306,361.9206,1737.2187
12,HSTN,-95.36327,29.76328,15,ORLD,-81.37924,28.53834,1366.5125,6559.2602
13,SNAN,-98.49363,29.42412,25,PHNX,-112.07404,33.44838,1364.6630,6550.3823
13,SNAN,-98.49363,29.42412,12,HSTN,-95.36327,29.76328,305.5709,1466.7404
13,SNAN,-98.49363,29.42412,14,DLLS,-96.80667,32.78306,405.6776,1947.2525
14,DLLS,-96.80667,32.78306,6,ATLN,-84.38798,33.749,1161.3081,5574.2788
14,DLLS,-96.80667,32.78306,9,NSVL,-86.78444,36.16589,993.6098,4769.3272
14,DLLS,-96.80667,32.78306,10,STLS,-90.19789,38.62727,881.6157,4231.7556
14,DLLS,-96.80667,32.78306,11,NWOR,-90.07507,29.95465,712.8573,3421.7151
14,DLLS,-96.80667,32.78306,12,HSTN,-95.36327,29.76328,361.9206,1737.2187
14,DLLS,-96.80667,32.78306,13,SNAN,-98.49363,29.42412,405.6776,1947.2525
14,DLLS,-96.80667,32.78306,16,DNVR,-104.9847,39.73915,1064.8228,5111.1497
14,DLLS,-96.80667,32.78306,17,KSCY,-94.62746,39.11417,729.4145,3501.1898
14,DLLS,-96.80667,32.78306,18,SNFN,-122.41942,37.77493,2386.9080,11457.1582
14,DLLS,-96.80667,32.78306,23,LA03,-118.24368,34.05223,1995.1829,9576.8778
15,ORLD,-81.37924,28.53834,11,NWOR,-90.07507,29.95465,859.5158,4125.6760
15,ORLD,-81.37924,28.53834,12,HSTN,-95.36327,29.76328,1366.5125,6559.2602
15,ORLD,-81.37924,28.53834,6,ATLN,-84.38798,33.749,644.9454,3095.7379
16,DNVR,-104.9847,39.73915,3,CHCG,-87.65005,41.85003,1479.0054,7099.2258
16,DNVR,-104.9847,39.73915,14,DLLS,-96.80667,32.78306,1064.8228,5111.1497
16,DNVR,-104.9847,39.73915,17,KSCY,-94.62746,39.11417,893.9900,4291.1518
16,DNVR,-104.9847,39.73915,18,SNFN,-122.41942,37.77493,1528.5692,7337.1319
16,DNVR,-104.9847,39.73915,22,SLKC,-111.89105,40.76078,598.2839,2871.7626
17,KSCY,-94.62746,39.11417,3,CHCG,-87.65005,41.85003,664.7635,3190.8646
17,KSCY,-94.62746,39.11417,10,STLS,-90.19789,38.62727,388.1558,1863.1478
17,KSCY,-94.62746,39.11417,14,DLLS,-96.80667,32.78306,729.4145,3501.1898
17,KSCY,-94.62746,39.11417,16,DNVR,-104.9847,39.73915,893.9900,4291.1518
17,KSCY,-94.62746,39.11417,18,SNFN,-122.41942,37.77493,2421.3154,11622.3140
18,SNFN,-122.41942,37.77493,3,CHCG,-87.65005,41.85003,2990.5639,14354.7065
18,SNFN,-122.41942,37.77493,14,DLLS,-96.80667,32.78306,2386.9080,11457.1582
18,SNFN,-122.41942,37.77493,16,DNVR,-104.9847,39.73915,1528.5692,7337.1319
18,SNFN,-122.41942,37.77493,17,KSCY,-94.62746,39.11417,2421.3154,11622.3140
18,SNFN,-122.41942,37.77493,19,SCRM,-121.4944,38.58157,120.7707,579.6992
18,SNFN,-122.41942,37.77493,20,PTLD,-122.67621,45.52345,860.8669,4132.1612
18,SNFN,-122.41942,37.77493,21,STTL,-122.33207,47.60621,1092.1502,5242.3210
18,SNFN,-122.41942,37.77493,22,SLKC,-111.89105,40.76078,966.3957,4638.6994
18,SNFN,-122.41942,37.77493,23,LA03,-118.24368,34.05223,559.0447,2683.4144
19,SCRM,-121.4944,38.58157,18,SNFN,-122.41942,37.77493,120.7707,579.6992
19,SCRM,-121.4944,38.58157,22,SLKC,-111.89105,40.76078,858.2522,4119.6105
20,PTLD,-122.67621,45.52345,18,SNFN,-122.41942,37.77493,860.8669,4132.1612
20,PTLD,-122.67621,45.52345,21,STTL,-122.33207,47.60621,233.0224,1118.5077
21,STTL,-122.33207,47.60621,18,SNFN,-122.41942,37.77493,1092.1502,5242.3210
21,STTL,-122.33207,47.60621,3,CHCG,-87.65005,41.85003,2795.9188,13420.4101
21,STTL,-122.33207,47.60621,20,PTLD,-122.67621,45.52345,233.0224,1118.5077
22,SLKC,-111.89105,40.76078,3,CHCG,-87.65005,41.85003,2026.9314,9729.2707
22,SLKC,-111.89105,40.76078,16,DNVR,-104.9847,39.73915,598.2839,2871.7626
22,SLKC,-111.89105,40.76078,18,SNFN,-122.41942,37.77493,966.3957,4638.6994
22,SLKC,-111.89105,40.76078,19,SCRM,-121.4944,38.58157,858.2522,4119.6105
22,SLKC,-111.89105,40.76078,23,LA03,-118.24368,34.05223,932.5091,4476.0436
23,LA03,-118.24368,34.05223,10,STLS,-90.19789,38.62727,2557.9808,12278.3077
23,LA03,-118.24368,34.05223,14,DLLS,-96.80667,32.78306,1995.1829,9576.8778
23,LA03,-118.24368,34.05223,18,SNFN,-122.41942,37.77493,559.0447,2683.4144
23,LA03,-118.24368,34.05223,22,SLKC,-111.89105,40.76078,932.5091,4476.0436
23,LA03,-118.24368,34.05223,24,SNDG,-117.15726,32.71533,179.4539,861.3789
23,LA03,-118.24368,34.05223,25,PHNX,-112.07404,33.44838,575.4627,2762.2211
24,SNDG,-117.15726,32.71533,25,PHNX,-112.07404,33.44838,481.4641,2311.0276
24,SNDG,-117.15726,32.71533,23,LA03,-118.24368,34.05223,179.4539,861.3789
25,PHNX,-112.07404,33.44838,13,SNAN,-98.49363,29.42412,1364.6630,6550.3823
25,PHNX,-112.07404,33.44838,23,LA03,-118.24368,34.05223,575.4627,2762.2211
25,PHNX,-112.07404,33.44838,24,SNDG,-117.15726,32.71533,481.4641,2311.0276
